"","Estimate_type","Value","mre","mare"
"1","Means","RelSB",0.24718717377358,0.499090576632201
"2","Means","SPR",0.145761080404745,0.321681291430761
"3","Means","F",-0.131292188353904,0.421679318482517
"4","Means","FF30",-0.34333849235586,0.490492050899786
"5","Means","Rec",0.292361159867974,0.40351738162145
"6","Stacked","RelSB",0.0264016287338307,0.449955003659095
"7","Stacked","SPR",-0.0454786738840696,0.322788673645728
"8","Stacked","F",-0.316476503869834,0.47596753437518
"9","Stacked","FF30",-0.466604272462442,0.535283284191817
"10","Stacked","Rec",-0.0720888301206194,0.362106033410805
"11","Truth","RelSB",-0.103821475826151,0.461696123203913
"12","Truth","SPR",-0.0320995744154048,0.217959743419536
"13","Truth","F",-0.0339872971695885,0.354529693249385
"14","Truth","FF30",-0.0046149988268338,0.302024032197065
"15","Truth","Rec",0.162055070441338,0.343335631747739
